"#","Product","Link","Brand","Sellers","Variations","Price","Category","Rank","Est. Sales","Est. Revenue","Reviews","Rating","FBA"
"101","Disney Mickey And Friends Valentine's Mickey &amp; Minnie Heart T-Shirt","http://www.amazon.com//dp/B0DVG1NJ51","Visit the Disney Store","1","379","$22.99","Clothing, Shoes &amp; Jewelry","164,116","16","$368","6 ","4.8","-"
"103","Girl Will be Girls Patriotic Feminist 4th of July Womens T-Shirt","http://www.amazon.com//dp/B0FBKVWXW7","Brand: Retro Girl Will be Girls Feminist 4th of July Co.","1","1","$18.99","Clothing, Shoes &amp; Jewelry","108,878","17","$323","4 ","5.0","-"
"104","Star Wars - Ship Flag Americana T-Shirt","http://www.amazon.com//dp/B0DQF6CN88","Visit the STAR WARS Store","1","147","$22.99","Clothing, Shoes &amp; Jewelry","146,991","16","$368","4 ","4.4","-"
"105","Disney Phineas and Ferb Character Collage T-Shirt","http://www.amazon.com//dp/B0F3DV5YBG","Visit the Disney Store","1","594","$22.99","Clothing, Shoes &amp; Jewelry","147,348","16","$368","2 ","4.5","-"
"107","Stay Cool Popsicle 4th July Boys Men Patriotic American Flag T-Shirt","http://www.amazon.com//dp/B0C9742B97","Visit the CAT Store","1","516","$19.99","Clothing, Shoes &amp; Jewelry","106,738","17","$340","40 ","4.3","-"
"108","Valley Forge Automotive T-Shirt, Small, Black","http://www.amazon.com//dp/B0D58MYR1P","Brand: Valley Forge Automotive Funny Gift Apparel","1","518","$16.99","Clothing, Shoes &amp; Jewelry","54,166","20","$340","12 ","3.9","-"
"109","Fih Calling Remind me Message Decline Accept Phone Call Fish T-Shirt","http://www.amazon.com//dp/B0FF3KX2RZ","Brand: Fih Calling Decline Accept t -shir t","1","514","$14.99","Clothing, Shoes &amp; Jewelry","94,404","17","$255",,,"-"
"110","Disney Silly Symphonies The Skeleton Dance Vintage Logo T-Shirt","http://www.amazon.com//dp/B0D8JWPG5T","Visit the Disney Store","1","211","$22.99","Clothing, Shoes &amp; Jewelry","99,624","17","$391","97 ","4.7","-"
"111","Disney - Goofy Doodles T-Shirt","http://www.amazon.com//dp/B0DZ7VV9DH","Visit the Disney Store","1","207","$22.99","Clothing, Shoes &amp; Jewelry","181,248","16","$368","5 ","4.7","-"
"112","The Metric System Can't Measure Freedom Funny 4th of July T-Shirt","http://www.amazon.com//dp/B0F5YF8YLX","Brand: The Metric System Can't Measure Freedom July 4th","1","275","$19.98","Clothing, Shoes &amp; Jewelry","54,252","20","$400","2 ","5.0","-"
"113","Disney Channel Bunk'd Camp Kikiwaka T-Shirt","http://www.amazon.com//dp/B07Y62V7WZ","Visit the Disney Store","1","629","$22.99","Clothing, Shoes &amp; Jewelry","203,600","16","$368","729 ","4.8","-"
"114","Minecraft Group Shot Poster Collage Style T-Shirt","http://www.amazon.com//dp/B0B11YZVPL","Visit the Minecraft Store","1","236","$22.99","Clothing, Shoes &amp; Jewelry","34,849","24","$552","92 ","4.7","-"
"115","Minecraft 4th Of July Creeper Boom American Colors T-Shirt","http://www.amazon.com//dp/B0BS4SPVNC","Brand: Minecraft","1","164","$22.99","Clothing, Shoes &amp; Jewelry","75,189","18","$414","15 ","5.0","-"
"116","Superman (2025) Superman New Logo 2 T-Shirt","http://www.amazon.com//dp/B0F96Y6B83","Brand: DC Comics","1","186","$19.99","Clothing, Shoes &amp; Jewelry","58,616","19","$380","4 ","5.0","-"
"117","Life is Good Women's Crusher Tee Shirt, Short Sleeve Cotton Graphic T-Shirts, Floral Jars","http://www.amazon.com//dp/B07ZGB3SCM","Visit the Life is Good Store","1","1","$20.00","Clothing, Shoes &amp; Jewelry","30,606","26","$520","596 ","4.7","-"
"118","Metallica Unisex-Adult Standard Ride The Lightning T-Shirt","http://www.amazon.com//dp/B07HPB28JH","Visit the Metallica Store","1","1","$22.99","Clothing, Shoes &amp; Jewelry","31,958","25","$575","3,051 ","4.6","-"
"119","Star Wars Andor Rebellions Are Built On Hope Grunge Style T-Shirt","http://www.amazon.com//dp/B0DVNQP95G","Visit the STAR WARS Store","1","270","$22.99","Clothing, Shoes &amp; Jewelry","155,495","16","$368","6 ","4.4","-"
"120","Disney Moana 2 Pua and Heihei Boat Snack Upgrade Funny T-Shirt","http://www.amazon.com//dp/B0DNTZP9R3","Visit the Disney Store","1","462","$22.99","Clothing, Shoes &amp; Jewelry","194,262","16","$368","9 ","4.8","-"
"121","STAR WARS Men's Endor Summer Camp T-Shirt","http://www.amazon.com//dp/B08DDD1LJR","Visit the STAR WARS Store","1","1","$17.57","Clothing, Shoes &amp; Jewelry","128,968","17","$299","142 ","4.5","-"
"122","Paw Patrol Father's Day Dad Patrol T-Shirt","http://www.amazon.com//dp/B0D6C2M11W","Visit the Paw Patrol Store","1","1","$22.97","Clothing, Shoes &amp; Jewelry","91,740","17","$390","43 ","4.4","-"
"123","Life is Good Women's Crusher Graphic T-Shirt","http://www.amazon.com//dp/B08CPHCT66","Visit the Life is Good Store","1","1","$29.50","Clothing, Shoes &amp; Jewelry","62,120","19","$561","7 ","4.7","-"
